ID,생산년도,모델출시년도,브랜드,차량모델명,판매도시,판매구역,주행거리,배기량,압축천연가스(CNG),경유,가솔린,하이브리드,액화석유가스(LPG),가격
TRAIN_00000,2018,2014,skoda,fabia,KAT,SLA,85231,999,0,0,1,0,0,51.74
TRAIN_00001,2010,2006,toyota,auris,RKO,SWI,135000,1598,0,0,1,0,0,41.47
TRAIN_00002,2002,2002,mercedes-benz,clk-klasa,GNI,WIE,255223,1796,0,0,1,0,0,17.81
TRAIN_00003,2006,2001,nissan,x-trail,EHX,WIE,238000,2184,0,1,0,0,0,18.2
TRAIN_00004,2007,2007,fiat,bravo,OSW,MAL,251000,1910,0,1,0,0,0,17.55
TRAIN_00005,2001,1995,audi,a4,KAT,SLA,340000,1984,0,0,0,0,1,7.8
TRAIN_00006,2021,2019,renault,clio,RAD,MAZ,10,999,0,0,0,0,1,99.45
TRAIN_00007,2005,2005,volkswagen,passat,ELB,WAR,217850,1595,0,0,1,0,0,20.8
TRAIN_00008,2018,2014,skoda,fabia,OPO,OPO,98514,1000,0,0,1,0,0,62.27
TRAIN_00009,2011,2006,citroen,c4-picasso,LUB,LUB,201000,1560,0,1,0,0,0,28.47
TRAIN_00010,2011,2009,bmw,seria-5,ZGO,DOL,224000,1995,0,1,0,0,0,78.0
TRAIN_00011,2009,2005,opel,zafira,AHW,KUJ,180000,1900,0,1,0,0,0,30.55
TRAIN_00012,2009,2006,ford,galaxy,PLO,MAZ,236424,1997,0,1,0,0,0,33.67
TRAIN_00013,2010,2007,mazda,6,WTN,ZAC,252400,2184,0,1,0,0,0,33.8
TRAIN_00014,2009,2008,honda,jazz,GHC,LUB,212000,1339,0,0,1,0,0,22.1
TRAIN_00015,2010,2007,nissan,qashqai,FXV,MAZ,111139,1997,0,0,1,0,0,130.0
TRAIN_00016,2021,2019,opel,corsa,WRO,DOL,6250,1199,0,0,1,0,0,77.87
TRAIN_00017,2009,2001,volkswagen,polo,CHE,KUJ,189967,1198,0,0,1,0,0,17.42
TRAIN_00018,2021,2018,kia,ceed,RAM,WIE,18190,1482,0,0,1,0,0,118.3
TRAIN_00019,2014,2013,mazda,3,ZAB,LUU,88000,1498,0,0,1,0,0,60.97
TRAIN_00020,2013,2006,bmw,x5,ZAB,LUU,127000,2993,0,1,0,0,0,156.0
TRAIN_00021,2003,1998,opel,astra,CHY,MAZ,137552,1598,0,0,1,0,0,12.87
TRAIN_00022,2010,2005,toyota,yaris,HHW,MAZ,178000,1329,0,0,1,0,0,27.95
TRAIN_00023,2018,2012,seat,leon,KRZ,MAL,96793,1395,0,0,1,0,0,98.8
TRAIN_00024,2022,2011,fiat,panda,KAT,SLA,1,999,0,0,0,1,0,73.97
